realSum,logSum,room_type_apt,room_type_private,room_type_shared,person_capacity,is_superhost,multi,biz,cleanliness_rating,satisfaction_rating,bedrooms,dist,metro_dist,attr_index,rest_index,city,is_weekday
196.6114404893024,5.2812293977255,0,1,0,4.0,0,0,0,9.0,94.0,1,6.198278628987274,2.3712668616978507,65.76107993501923,81.38426747691128,Amsterdam,1
430.24863496824696,6.06436326243873,1,0,0,2.0,0,0,0,10.0,96.0,1,3.0194408531429744,0.7924066228604738,144.54998380810338,182.7619838156324,Amsterdam,1
319.6400534295691,5.767195529661701,0,1,0,2.0,0,0,1,9.0,95.0,1,0.3633454412498557,0.2096397288159174,1238.4667773533197,755.1322211354874,Amsterdam,1
405.6429123801936,6.005473246434503,0,1,0,4.0,1,0,0,9.0,98.0,1,5.036497714450563,1.2466108857508118,87.20473186122335,109.09580987342612,Amsterdam,1
334.16914676727674,5.811647292232535,0,1,0,2.0,1,1,0,10.0,97.0,1,1.151764132843782,0.8970263744801004,425.3458846114482,628.0124490034847,Amsterdam,1
491.8801115459424,6.198235011078927,0,1,0,2.0,0,0,1,9.0,98.0,1,0.3751350635549438,0.1903946025634141,1888.5504277122784,747.8012493996536,Amsterdam,1
319.6400534295691,5.767195529661701,0,1,0,2.0,0,0,1,9.0,95.0,1,0.3605068051816017,0.2235065665493052,1030.281139745255,761.5528542804844,Amsterdam,1
780.3529163639773,6.659746274232783,0,1,0,4.0,0,0,1,10.0,100.0,5,1.395578909867689,0.8572393306243391,311.0141147100838,350.8503639340734,Amsterdam,1
355.025425913341,5.872189409201764,1,0,0,2.0,0,0,0,9.0,90.0,1,1.4833705939880382,0.5362382328069959,334.9827096193536,370.0144622609633,Amsterdam,1
1044.6886790242074,6.951474205204108,1,0,0,4.0,0,0,0,10.0,98.0,2,1.505923967249401,0.175794704274626,304.2793955189664,364.8628248274522,Amsterdam,1
847.8428983197807,6.742695357213535,1,0,0,4.0,0,0,0,10.0,98.0,3,1.2673284617211298,1.1579997481608375,363.99412305286154,480.5837857043598,Amsterdam,1
373.7726431232864,5.923647706477238,0,1,0,2.0,1,1,0,10.0,98.0,1,0.9750693378669916,1.1049968776580508,355.61261086919126,528.5806222734936,Amsterdam,1
613.268342980339,6.41880259378844,1,0,0,4.0,0,1,0,9.0,84.0,1,0.2272606763176075,0.4598073595219026,562.2653057068021,798.406769982853,Amsterdam,1
238.3239987814309,5.473631087306853,0,1,0,2.0,1,0,0,10.0,98.0,1,5.839438156140002,3.833064537056145,73.91623294810046,92.56920790862506,Amsterdam,1
430.24863496824696,6.06436326243873,1,0,0,2.0,0,0,0,10.0,97.0,1,3.0295222155851818,0.9112465307319396,139.93497055858356,176.924588754213,Amsterdam,1
347.9952194596115,5.852188742495094,1,0,0,3.0,0,0,1,6.0,77.0,2,4.416816886287283,0.4468093520238611,117.23106924112592,148.95235287614554,Amsterdam,1
330.4197033252877,5.800363674630508,1,0,0,2.0,0,0,0,10.0,98.0,1,2.564051903620257,1.2481531877884884,167.55416029598223,209.16777263992552,Amsterdam,1
259.1802779274952,5.557523873340574,0,1,0,2.0,1,1,0,10.0,98.0,1,5.241484167950498,0.6712405206030825,100.42265312358684,124.57652303682862,Amsterdam,1
277.9274951374406,5.627360270815965,0,1,0,2.0,1,0,0,10.0,97.0,1,3.832914225064619,2.3918012298079425,114.08673508338612,144.9121572303968,Amsterdam,1
467.0400487427648,6.146415011471088,1,0,0,3.0,0,0,0,9.0,96.0,2,2.3878907808382155,1.4303944319621709,181.6746678237284,225.94750025643063,Amsterdam,1
583.7414758746748,6.369458206520474,1,0,0,2.0,1,0,0,10.0,99.0,1,2.572843321360758,1.4724409675029893,148.99917333273208,189.311402876353,Amsterdam,1
374.944344198908,5.926777599486167,0,1,0,4.0,0,0,1,6.0,88.0,1,0.9445213338246298,0.7271074308544552,320.2399392378318,458.1326924717175,Amsterdam,1
372.36660183254054,5.91987885779501,0,1,0,2.0,0,0,0,10.0,97.0,1,3.893254193637553,0.6574336748516322,147.22970680332926,179.4898424408854,Amsterdam,1
479.2257399292293,6.172171759735196,0,0,1,2.0,1,0,0,10.0,96.0,1,1.3772429996352762,0.0779166156732898,549.5129603022432,555.0586790506661,Amsterdam,1
454.8543575563003,6.119977274427304,1,0,0,2.0,1,0,0,10.0,98.0,1,2.2849446847498727,1.8275555238239385,164.16433939704203,210.69279250567072,Amsterdam,1
206.4537295245237,5.330076317194473,0,1,0,2.0,0,0,0,9.0,95.0,1,6.79281178529689,2.4438170031213313,69.09737826969153,85.69011725389974,Amsterdam,1
497.7386169240504,6.210075073620123,0,1,0,2.0,0,1,0,10.0,95.0,1,1.095053365140708,0.9852069073138536,295.5282801437017,431.2708118545962,Amsterdam,1
399.55006678696134,5.990339080975911,1,0,0,2.0,1,0,0,10.0,97.0,1,9.335518920505798,0.3804858903310787,49.325672596659565,61.58947676356268,Amsterdam,1
